,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,기간,자치구,동,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 정원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원,보육시설 현원
1,기간,자치구,동,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장,계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
290,2020,구로구,수궁동,702,199,,,410,53,40,,614,188,,,343,43,40,
291,2020,구로구,가리봉동,204,112,,,92,,,,163,103,,,60,,,
292,2020,구로구,구로2동,837,172,,,485,70,,110,609,130,,,370,34,,75
293,2020,구로구,개봉1동,859,313,79,,319,148,,,660,259,69,,238,94,,
294,2020,구로구,오류2동,"1,362",815,,,259,215,19,54,"1,142",682,,,200,195,15,50
295,2020,구로구,항동,814,656,,,,158,,,746,614,,,,132,,
296,2020,금천구,소계,"7,519","2,907",223,645,"2,620",700,,424,"5,607","2,383",193,442,"1,851",507,,231
297,2020,금천구,가산동,821,145,,220,185,,,271,568,110,,171,151,,,136
298,2020,금천구,독산1동,"1,140",653,,55,205,129,,98,963,580,,46,176,107,,54
299,2020,금천구,독산2동,748,343,,,278,127,,,596,266,,,247,83,,
300,2020,금천구,독산3동,541,263,,49,197,32,,,433,218,,36,157,22,,
301,2020,금천구,독산4동,598,233,,,348,17,,,435,181,,,251,3,,
