,기간,자치구,동,합계,국공립,사회복지법인,법인·단체 등,민간,가정,부모협동,직장
423,2020,송파구,잠실본동,9,2,-,1,5,1,-,-
424,2020,송파구,잠실4동,21,2,-,-,2,17,-,-
425,2020,송파구,잠실6동,15,1,-,-,-,11,-,3
426,2020,송파구,잠실2동,14,4,-,-,-,10,-,-
427,2020,송파구,잠실3동,19,1,-,-,2,15,-,1
428,2020,송파구,장지동,27,12,-,-,6,8,1,-
429,2020,송파구,위례동,28,13,-,-,1,13,-,1
430,2020,강동구,소계,260,79,1,2,78,94,1,5
431,2020,강동구,강일동,42,13,-,-,7,20,-,2
432,2020,강동구,상일동,12,7,-,-,2,3,-,-
433,2020,강동구,명일1동,15,4,-,-,3,8,-,-
434,2020,강동구,명일2동,9,1,-,-,3,4,-,1
435,2020,강동구,고덕1동,11,3,-,-,3,5,-,-
436,2020,강동구,고덕2동,11,5,-,-,2,4,-,-
437,2020,강동구,암사2동,14,3,-,-,3,8,-,-
438,2020,강동구,암사3동,10,4,-,-,1,4,1,-
439,2020,강동구,천호1동,19,7,-,-,6,6,-,-
440,2020,강동구,천호3동,12,3,-,-,5,4,-,-
441,2020,강동구,성내1동,14,5,-,-,4,4,-,1
442,2020,강동구,성내2동,12,2,-,-,7,3,-,-
443,2020,강동구,성내3동,12,4,-,-,5,3,-,-
444,2020,강동구,둔촌2동,17,5,1,-,3,8,-,-
445,2020,강동구,암사1동,18,3,-,1,11,3,-,-
446,2020,강동구,천호2동,9,4,-,-,4,-,-,1
447,2020,강동구,길동,23,6,-,1,9,7,-,-
